app_id,app_name,app_size,app_runtime,app_task_count,max_in_ready_queue,max_in_todo_queue,ref_arrival_time,app_diff_arrival_time,app_lifetime,app_api_min,app_api_max,app_api_mean,cpu1_todo_queue,cpu2_todo_queue,cpu3_todo_queue,fft1_todo_queue,fft2_todo_queue,gemm1_todo_queue,gemm2_todo_queue,zip1_todo_queue,cpu1,cpu2,cpu3,fft1,fft2,gemm1,gemm2,zip1,API_INSTRUCTIONS,API_CACHE_REFERENCES,API_CACHE_MISSES,API_BRANCH_MISSES,API_DTLB_READ_MISS,API_ITLB_READ_MISS,API_L1D_READ_ACCESS,API_L1D_READ_MISS,API_L1I_READ_MISS,APP_INSTRUCTIONS,APP_CACHE_REFERENCES,APP_CACHE_MISSES,APP_BRANCH_MISSES,APP_DTLB_READ_MISS,APP_ITLB_READ_MISS,APP_L1D_READ_ACCESS,APP_L1D_READ_MISS,APP_L1I_READ_MISS
29,SAR-noapi-aarch64,21984,5274987422,0,0,0,549620709238999,-101738425,5338038182,0,0,0,0,0,0,0,0,0,0,0,0.079460,0.071316,0.115443,0.045218,0.041293,0.000140,0.000000,0.052777,0,0,0,0,0,0,0,0,0,386883824,145069678,269493,1462108,20885,1718,141550045,211663,728948
31,SAR-noapi-aarch64,21984,5281094703,0,0,0,549620912516620,203277621,5352639871,0,0,0,0,0,0,0,0,0,0,0,0.079460,0.071316,0.115443,0.045218,0.041293,0.000140,0.000000,0.052777,0,0,0,0,0,0,0,0,0,390986857,139100310,208548,1493034,20154,1918,148605246,295696,707402
23,SAR_nb-aarch64,18024,5385586562,2305,482,128,549620822554611,-89962009,5479770873,8401,9821342,51477,128,128,128,91,99,0,0,118,0.079460,0.071316,0.115443,0.045218,0.041293,0.000140,0.000000,0.052777,33939400,11691938,116215,161523,6468,1495,10331297,128732,128995,320467164,125018903,280233,1281490,13542,2489,136524844,218254,1149997
21,SAR_nb-aarch64,18024,5956721739,2305,511,128,549620536894159,-285660452,6000241917,8361,7444544,49506,128,128,128,99,102,0,0,107,0.079460,0.071316,0.115443,0.045218,0.041293,0.000140,0.000000,0.052777,28000630,8242014,135367,241623,7240,1957,9849359,123853,139347,329107997,134489878,238739,1444536,10786,4036,125785180,275232,1067324
32,SAR-noapi-aarch64,21984,5628280902,0,0,0,549621014174707,477280548,5642891822,0,0,0,0,0,0,0,0,0,0,0,0.079460,0.071316,0.115443,0.045218,0.041293,0.000140,0.000000,0.052777,0,0,0,0,0,0,0,0,0,387266219,146806356,300659,1483091,12179,3748,141014547,322341,788577
11,track_nb-aarch64,277488,37206370016,24580,1023,205,549620670078366,-344096341,37262876002,75137,286656572,204681,205,205,205,205,205,0,0,1,0.079460,0.071316,0.115443,0.045218,0.041293,0.000140,0.000000,0.052777,1355364494,459447234,2880178,6570999,147604,19033,472269428,2757906,1693122,3602393583,1590908233,24262563,6359365,15384522,7384,1590815985,23882176,1718541
10,track_nb-aarch64,277488,37801676228,24580,1023,205,549620528906221,-141172145,37849250621,75097,298883853,205756,205,205,205,198,197,0,0,1,0.079460,0.071316,0.115443,0.045218,0.041293,0.000140,0.000000,0.052777,1494448173,474074182,2827975,6510329,151420,21268,445916449,2883291,1720317,3545728974,1609109532,24060522,6605361,14867891,11581,1598621588,24008251,1646891
9,track_nb-aarch64,277488,38410361546,24580,1016,205,549620394071958,-134834263,38437038232,75028,297496255,195626,205,205,205,205,205,0,0,1,0.079460,0.071316,0.115443,0.045218,0.041293,0.000140,0.000000,0.052777,1437327910,476876801,2663227,6278086,153849,19921,440514506,2837204,1804874,3529918587,1591632335,24099968,6556212,15137465,13018,1613107624,23969744,1762127
3,temporal_mitigation-noapi-aarch64,68888,89963279,0,0,0,549661225232914,0,125658175,0,0,0,0,0,0,0,0,0,0,0,0.115144,0.110456,0.115562,0.059422,0.057099,0.000141,0.000000,0.075721,0,0,0,0,0,0,0,0,0,589309,911355,3531,9400,277,156,695077,0,0
4,temporal_mitigation-noapi-aarch64,68888,63407705,0,0,0,549661357751995,132519081,128534212,0,0,0,0,0,0,0,0,0,0,0,0.115144,0.110456,0.115562,0.059422,0.057099,0.000141,0.000000,0.075721,0,0,0,0,0,0,0,0,0,1667670,904413,2473,8824,156,93,290882,0,0
